icao,iata,name,city,state,country,elevation,lat,lon,tz
00XS,,L P Askew Farms Airport,O'Donnell,Texas,US,3110,33.03340149,-101.9339981,America/Chicago
01AL,,Ware Island Airport,Clanton,Alabama,US,344,32.94599915,-86.51390076,America/Chicago
01CL,,Swansboro Country Airport,Placerville,California,US,2594,38.79990005,-120.7340012,America/Los_Angeles
01FA,,Rybolt Ranch Airport,Orlando,Florida,US,55,28.58939934,-81.14420319,America/New_York
01FL,,Cedar Knoll Flying Ranch Airport,Geneva,Florida,US,19,28.78190041,-81.15920258,America/New_York
01GE,,The Farm Airport,Wrightsville,Georgia,US,375,32.67440033,-82.77110291,America/New_York
01IA,,Stender Airport,Maysville,Iowa,US,725,41.66109848,-90.74130249,America/Chicago
01ID,,Lava Hot Springs Airport,Lava Hot Springs,Idaho,US,5268,42.60820007,-112.0319977,America/Boise
01II,,Myers Field,Lizton,Indiana,US,950,39.88499832,-86.50669861,America/Indiana/Indianapolis
01IS,,William E. Koenig Airport,Dow,Illinois,US,670,39.01620102,-90.31819916,America/Chicago
01KS,,Flying N Ranch Airport,Lost Springs,Kansas,US,1485,38.54059982,-97.00330353,America/Chicago
01LA,,Barham Airport,Oak Ridge,Louisiana,US,90,32.63899994,-91.7736969,America/Chicago
01LL,,Schumaier Restricted Landing Area,Pinckneyville,Illinois,US,555,38.12580109,-89.46389771,America/Chicago
01LS,,Country Breeze Airport,Slaughter,Louisiana,US,125,30.70599937,-91.07740021,America/Chicago
01MT,,Crystal Lakes Resort Airport,Fortine,Montana,US,3141,48.78910065,-114.8799973,America/Denver
01NC,,Topsail Airpark,Holly Ridge,North Carolina,US,65,34.47529984,-77.58139801,America/New_York
01NE,,Detour Airport,Wellfleet,Nebraska,US,3000,40.84360123,-100.6529999,America/Chicago
01NH,,Moore Airfield,Enfield,New Hampshire,US,835,43.64450073,-72.08699799,America/New_York
01NM,,Champion Ranch Airport,Artesia,New Mexico,US,3630,33.008611,-104.540278,America/Denver
01NV,,Lantana Ranch Airport,Yerington,Nevada,US,4600,38.76390076,-119.0270004,America/Los_Angeles
01OK,,Lawrence Airport,Eakly,Oklahoma,US,1525,35.29449844,-98.6364975,America/Chicago
01OR,,Red & White Flying Service Airport,Silver Lake,Oregon,US,4346,43.11930084,-121.0449982,America/Los_Angeles
01PN,,Bierly(Personal Use) Airport,Bellefonte,Pennsylvania,US,960,40.93059921,-77.73889923,America/New_York
01PS,,Nort's Resort Airport,Meshoppen,Pennsylvania,US,1040,41.59590149,-76.02960205,America/New_York
01SC,,York Airport,York,South Carolina,US,779,35.03210068,-81.25279999,America/New_York
01TE,,Smith Field,Forney,Texas,US,505,32.73759842,-96.4280014,America/Chicago
01TN,,Colonial Air Park,Collierville,Tennessee,US,370,34.9958992,-89.73059845,America/Chicago
01TX,,Mims Farm Ultralightport,Waxahachie,Texas,US,610,32.38759995,-96.87750244,America/Chicago
01UT,,La Sal Junction Airport,La Sal,Utah,US,6000,38.30830002,-109.3960037,America/Denver
01VA,,Pickles Airport,Berryville,Virginia,US,500,39.125,-77.92500305,America/New_York
01WI,,Prehn Cranberry Company Airport,Tomah,Wisconsin,US,930,44.00999832,-90.3891983,America/Chicago
01WY,,Keyhole Airport,Moorcroft,Wyoming,US,4250,44.34719849,-104.810997,America/Denver
02AK,,Rustic Wilderness Airport,Willow,Alaska,US,190,61.87689972,-150.0980072,America/Anchorage
02AL,,Bass Field,Foley,Alabama,US,61,30.37150002,-87.76439667,America/Chicago
02AR,,Three Rivers Airport,Little Rock,Arkansas,US,264,34.82244492,-92.44441986,America/Chicago
02AZ,,Winchester Farm Airstrip,Willcox,Arizona,US,4200,32.37639999,-109.9369965,America/Phoenix
02CD,,Shannon Field,Clarksdale,Mississippi,US,165,34.12960052,-90.52400208,America/Chicago
02CL,,Conover Air Lodge Airport,Frazier Park,California,US,5160,34.76110077,-119.0589981,America/Los_Angeles
02CO,,Mc Cullough Airport,Monte Vista,Colorado,US,7615,37.6432991,-106.0469971,America/Denver
02FA,,Osborn Airfield,Groveland,Florida,US,121,28.52669907,-81.87480164,America/New_York
02FL,,Cuchens Airport,Defuniak Springs,Florida,US,215,30.642778,-86.123889,America/Chicago
02GA,,Doug Bolton Field,Commerce,Georgia,US,884,34.20259857,-83.42900085,America/New_York
02GE,,Etowah Fields Airport,Euharlee,Georgia,US,710,34.1753006,-84.92440033,America/New_York
02ID,,Morgan Ranch Airport,Cascade,Idaho,US,5634,44.55550003,-115.3050003,America/Boise
02II,,King Ultralightport,Westfield,Indiana,US,925,40.06230164,-86.21050262,America/Indiana/Indianapolis
02IN,,Diamond P. Field,Muncie,Indiana,US,904,40.20890045,-85.540802,America/Indiana/Indianapolis
02KS,,Jmj Landing Airport,St Marys,Kansas,US,1170,39.22219849,-96.05529785,America/Chicago
02ME,,Nadeaus' Airfield,Acton,Maine,US,700,43.53730011,-70.92939758,America/New_York
02MI,,Fairplains Airpark,Greenville,Michigan,US,850,43.15710068,-85.14849854,America/Detroit
02MN,,Greenbush Municipal Airport,Greenbush,Minnesota,US,1070,48.68330002,-96.19200134,America/Chicago
02MO,,Troy Airpark,Troy,Missouri,US,650,39.04999924,-91.03350067,America/Chicago
02MS,,Watts Field,Rochdale,Mississippi,US,153,34.10010147,-90.84680176,America/Chicago
02MT,,Barrett Field,Cascade,Montana,US,3350,47.23740005,-111.7419968,America/Denver
02MU,,Timber Line Airpark,Cassville,Missouri,US,1550,36.65420151,-93.79740143,America/Chicago
02NE,,Benes Service Airport,Valparaiso,Nebraska,US,1550,41.07450104,-96.90450287,America/Chicago
02NV,,Paiute Meadows Airport,Winnemucca,Nevada,US,4443,41.30329895,-118.5979996,America/Los_Angeles
02OH,,Zimmerman Airport,Fremont,Ohio,US,614,41.37639999,-83.08329773,America/New_York
02OI,,Murtha Airport,Conneaut,Ohio,US,950,41.80199814,-80.56539917,America/New_York
02OR,,Rowena Dell Airport,The Dalles,Oregon,US,705,45.68149948,-121.3160019,America/Los_Angeles
02PR,,Cuylers Airport,Vega Baja,Vega Baja,PR,15,18.45330048,-66.36689758,America/Puerto_Rico
02PS,,Hughes Ultralightport,Tioga,Pennsylvania,US,1700,41.90060043,-77.2303009,America/New_York
02SC,,Harpers Airport,Estill,South Carolina,US,111,32.75849915,-81.22480011,America/New_York
02TN,,Ellis Field,Murfreesboro,Tennessee,US,840,35.7806015,-86.584198,America/Chicago
02TS,,El Tesoro Ranch Airport,Charlotte,Texas,US,334,28.66264166,-98.72309444,America/Chicago
02TX,,The Palms At Kitty Hawk Airport,New Home,Texas,US,3235,33.37040329,-101.9228821,America/Chicago
02UT,,Lucin Airport,Lucin,Utah,US,4412,41.36629868,-113.8430023,America/Denver
02VA,,The Greenhouse Airport,Culpeper,Virginia,US,320,38.43569946,-77.85720062,America/New_York
02WA,,Cawleys South Prairie Airport,South Prairie,Washington,US,690,47.15230179,-122.0940018,America/Los_Angeles
02WI,,Beer Airport,Hudson,Wisconsin,US,920,45.0318985,-92.65579987,America/Chicago
02WN,,Fowler Field,Tonasket,Washington,US,2150,48.74580002,-119.3190002,America/Los_Angeles
02XS,,Seidel Ranch Airport,Elroy,Texas,US,510,30.14769936,-97.66280365,America/Chicago
03AZ,,Thompson International Aviation Airport,Hereford,Arizona,US,4275,31.4333992,-110.0839996,America/Phoenix
03CO,,Kugel-Strong Airport,Platteville,Colorado,US,4950,40.21250153,-104.7440033,America/Denver
03FA,,Lake Persimmon Airstrip,Lake Placid,Florida,US,70,27.35309982,-81.40809631,America/New_York
03FD,,Tharpe Airport,Bonifay,Florida,US,115,30.8288002,-85.73100281,America/Chicago
03IA,,East Field,Montezuma,Iowa,US,954,41.58190155,-92.46130371,America/Chicago
03ID,,Flying Y Ranch Airport,Council,Idaho,US,3180,44.79430008,-116.5329971,America/Boise
03II,,Davis Field Ultralightport,Mount Vernon,Indiana,US,465,37.9620018,-87.77890015,America/Chicago
03IL,,Wix Airport,Monee,Illinois,US,750,41.40230179,-87.8167038,America/Chicago
03IN,,Heinzman Airport,Arcadia,Indiana,US,850,40.18000031,-86.01249695,America/Indiana/Indianapolis
03KY,,Flying H Farms Airport,Henderson,Kentucky,US,385,37.79169846,-87.54139709,America/Chicago
03MA,,Hadley Airport,Hadley,Massachusetts,US,150,42.39310074,-72.55200195,America/New_York
03ME,,Maple Ridge Airport,Harrison,Maine,US,556,44.08420181,-70.62729645,America/New_York
03MN,,Nauerth Land Ranch Airport,Lakefield,Minnesota,US,1435,43.62519836,-95.22470093,America/Chicago
03MO,,Cahoochie Airport,Urbana,Missouri,US,1010,37.8844986,-93.13159943,America/Chicago
03MT,,Cascade Airport,Cascade,Montana,US,3580,47.27080154,-111.7220001,America/Denver
03MU,,Mc Donnell Airport,Archie,Missouri,US,874,38.49250031,-94.41249847,America/Chicago
03NC,,Pilots Ridge Airport,Carolina Beach,North Carolina,US,35,34.10430145,-77.90419769,America/New_York
03ND,,Olafson Brothers Airport,Edinburg,North Dakota,US,1045,48.62639999,-97.82900238,America/Chicago
03NE,,Hyde Ranch Airport,Comstock,Nebraska,US,2430,41.54639816,-99.33119965,America/Chicago
03NV,,Llama Ranch Airport,Ruby Valley,Nevada,US,6120,40.58440018,-115.2979965,America/Los_Angeles
03NY,,Talmage Field,Riverhead,New York,US,95,40.95840073,-72.71679688,America/New_York
03OH,,Gibbs Field,Fremont,Ohio,US,580,41.41839981,-83.01740265,America/New_York
03OK,,Sahoma Lake Airport,Sapulpa,Oklahoma,US,890,36.04119873,-96.16139984,America/Chicago
03OR,,Powwatka Ridge Airport,Troy,Oregon,US,3340,45.85540009,-117.4840012,America/Los_Angeles
03PS,,Ziggy's Field,Bellefonte,Pennsylvania,US,1050,40.84999847,-77.9056015,America/New_York
03TA,,Gay Hill Farm Airport,Gay Hill,Texas,US,505,30.26269913,-96.50019836,America/Chicago
03TE,,Barronena Ranch Airport,Hebbronville,Texas,US,600,27.49110031,-98.66950226,America/Chicago
03UT,,A Z Minerals Corporation Airport,Mexican Hat,Utah,US,5315,37.12080002,-109.9860001,America/Denver
03WA,,Spangle Field,Spangle,Washington,US,2440,47.40819931,-117.3720016,America/Los_Angeles
03WI,,Zink Airport,Berlin,Wisconsin,US,880,44.02750015,-88.88089752,America/Chicago
03WN,,Aerostone Ranch Airport,Goldendale,Washington,US,2320,45.875,-120.6699982,America/Los_Angeles
03XS,,Creekside Airport,Mertzon,Texas,US,2100,31.31809998,-100.7539978,America/Chicago
04AZ,,Chinle Airport,Chinle,Arizona,US,5515,36.15420151,-109.5510025,America/Denver
04CA,,Gray Butte Field,Palmdale,California,US,3020,34.56389999,-117.6750031,America/Los_Angeles
04CL,,Hunt's Sky Ranch Airport,Julian,California,US,2310,33.08169937,-116.4410019,America/Los_Angeles
04FA,,Richards Field,Homestead,Florida,US,9,25.55870056,-80.51509857,America/New_York
04FL,,Cross Creek Farms Airport,Ormond,Florida,US,30,29.23940086,-81.22200012,America/New_York
04IA,,Middlekoop Airport,Packwood,Iowa,US,801,41.0882988,-92.05460358,America/Chicago
04ID,,Lanham Field,Emmett,Idaho,US,2343,43.87770081,-116.5370026,America/Boise
04II,,Turkey Run Airport,New Haven,Indiana,US,765,41.13059998,-84.99410248,America/Indiana/Indianapolis
04IL,,Schertz Aerial Service - Hudson Airport,Hudson,Illinois,US,755,40.63750076,-89.00700378,America/Chicago
04IS,,Van Gorder Airport,Mansfield,Illinois,US,728,40.17860031,-88.56900024,America/Chicago
04KY,,Natchez Trace Farm Airport,Hiseville,Kentucky,US,710,37.13510132,-85.78939819,America/Chicago
04LL,,Brunner Airport,West Dundee,Illinois,US,750,42.13610077,-88.28759766,America/Chicago
04ME,,Beech Hill Airport,Mercer,Maine,US,625,44.66669846,-69.89389801,America/New_York
04MI,,Rapids Airway Airport,Eaton Rapids,Michigan,US,880,42.53450012,-84.62830353,America/Detroit
04MN,,Helblad Airport,Kelliher,Minnesota,US,1195,47.9858017,-94.68689728,America/Chicago
04MO,,Airpark Private Airport,Vandalia,Missouri,US,767,39.30120087,-91.45149994,America/Chicago
04MS,,Nick's Flying Service Inc Airport,Rolling Fork,Mississippi,US,100,32.9396019,-90.83730316,America/Chicago
04MT,,Pluhar Airport,Cohagen,Montana,US,2715,47.13749778,-106.488095,America/Denver
04NE,,Mc Connell Field Airport,Sarben,Nebraska,US,3035,41.15999985,-101.2990036,America/Denver
04NJ,,Emmanuel Airport,Elmer,New Jersey,US,155,39.59680176,-75.23349762,America/New_York
04NV,,Kingston Ranch Airport,Sandy Valley,California,US,2620,35.75550079,-115.6650009,America/Los_Angeles
04NY,,Klaverack Airport,Hudson,New York,US,250,42.26229858,-73.69619751,America/New_York
04OH,,Bossow Airport,Garrettsville,Ohio,US,1080,41.24769974,-81.10070038,America/New_York
04OR,,Collins Landing Strip,Mitchell,Oregon,US,1500,44.74990082,-120.2009964,America/Los_Angeles
04TN,,Hensley Airpark,Chuckey,Tennessee,US,1430,36.18330002,-82.67890167,America/New_York
04TT,,4D Ranch Airport,Utopia,Texas,US,1550,29.71307222,-99.54564166,America/Chicago
04TX,,Pocock Airport,China Spring,Texas,US,565,31.73220062,-97.36889648,America/Chicago
04UT,,Navajo Mountain Airport,Navajo Mountain Trdng Post,Utah,US,6160,37.00830078,-110.7949982,America/Denver
04VG,,Manquin Flight Park Ultralightport,Manquin,Virginia,US,50,37.71440125,-77.21179962,America/New_York
04VT,,Lightning Bolt Field Airport,Cabot,Vermont,US,2156,44.40110016,-72.26360321,America/New_York
04WA,,Ox Meadows Airport,Spokane,Washington,US,2345,47.58179855,-117.4369965,America/Los_Angeles
04WI,,Dutch Gap Airstrip,Bristol,Wisconsin,US,760,42.52339935,-88.01670074,America/Chicago
04WN,,Stillwater Creek Airport,Royal City,Washington,US,1510,46.963889,-119.641667,America/Los_Angeles
05AK,,Wasilla Creek Airpark,Palmer,Alaska,US,620,61.66830063,-149.1880035,America/Anchorage
05AR,,Ozark Skies Airpark,Kingston,Arkansas,US,1900,36.000633,-93.57025,America/Chicago
05CL,,Pope Valley Airport,Pope Valley,California,US,618,38.6106987,-122.3909988,America/Los_Angeles
05CO,,Rancho De Aereo Airport,Mead,Colorado,US,4978,40.2149839,-104.9844228,America/Denver
05FA,,Melanie's Airport,Florala,Florida,US,295,30.91889954,-86.21829987,America/Chicago
05FL,,Charlton Strip,La Belle,Florida,US,36,26.5230999,-81.40830231,America/New_York
05GA,,Raju Airport,Richland,Georgia,US,625,32.07139969,-84.71440125,America/New_York
05IA,,Spotts Field,Nora Springs,Iowa,US,1155,43.13750076,-93.06829834,America/Chicago
05ID,,Running Creek Ranch Airport,Grangeville,Idaho,US,2969,45.91410065,-114.8359985,America/Los_Angeles
05II,,Reichhart Airport,New Haven,Indiana,US,795,41.02870178,-84.99720001,America/Indiana/Indianapolis
05IL,,Classic Landings Airport,Bonfield,Illinois,US,635,41.15670013,-88.01670074,America/Chicago
05IN,,Cooper Airport,Belleville,Indiana,US,860,39.64199829,-86.5042038,America/Indiana/Indianapolis
05IS,,Hardy Airport,Mount Auburn,Illinois,US,605,39.72589874,-89.26399994,America/Chicago
05KS,,Darbro Field,Elk City,Kansas,US,945,37.26620102,-95.959198,America/Chicago
05KY,,Cartersville Airport,Berea,Kentucky,US,1070,37.53689957,-84.40720367,America/New_York
05LA,,Greg's Flying Service Airport,Baskin,Louisiana,US,76,32.26530075,-91.69779968,America/Chicago
05LS,,Grass Roots Airport,Alexandria,Louisiana,US,83,31.25219917,-92.47579956,America/Chicago
05MD,,Breezecroft Airport,Chestertown,Maryland,US,20,39.25009918,-76.2052002,America/New_York
05ME,,Drisko Airport,Jonesboro,Maine,US,70,44.6570015,-67.55919647,America/New_York
05NE,,Mc Kay Airport,Spalding,Nebraska,US,2010,41.72219849,-98.30899811,America/Chicago
05OI,,Dorlon Airpark,Columbia Station,Ohio,US,830,41.28839874,-81.96260071,America/New_York
05OK,,Hawk Haven Airport,Crescent,Oklahoma,US,1075,35.85340118,-97.56749725,America/Chicago
05OR,,6 Ranch Airport,Enterprise,Oregon,US,3500,45.44150162,-117.3509979,America/Los_Angeles
05PS,,Mills Brothers Airport,Burnt Cabins,Pennsylvania,US,1210,40.14279938,-77.86190033,America/New_York
05TA,,Brandes Air Field,Sealy,Texas,US,276,29.8090992,-96.26509857,America/Chicago
05TE,,Hilde-Griff Field,Georgetown,Texas,US,950,30.7220993,-97.79139709,America/Chicago
05TS,,Dew Drop Airport,Justin,Texas,US,750,33.12929916,-97.3585968,America/Chicago
05TX,,Circle 'A' Ranch Airport,Blum,Texas,US,608,32.12919998,-97.40419769,America/Chicago
05UT,,Oljato Airport,Oljato,Utah,US,4838,37.03329849,-110.3170013,America/Denver
05VA,,Providence Airport,Farmville,Virginia,US,445,37.2242012,-78.41860199,America/New_York
05WI,,Ames Private Airport,Darien,Wisconsin,US,958,42.65110016,-88.74590302,America/Chicago
05WN,,Flat Creek Field,Kettle Falls,Washington,US,1570,48.702222,-118.0475,America/Los_Angeles
05XS,,Johnson Memorial Airport,Wilmot,Arkansas,US,105,33.07929993,-91.54319763,America/Chicago
06AK,,June Lake Airpark,Wasilla,Alaska,US,425,61.627619,-149.575331,America/Anchorage
06AR,,Bondair Airport,Higden,Arkansas,US,499,35.54449844,-92.18489838,America/Chicago
06CO,,Jecan Airport,Branson,Colorado,US,5100,37.38750076,-103.6910019,America/Denver
06FA,,William P Gwinn Airport,Jupiter,Florida,US,28,26.90839958,-80.3289032,America/New_York
06FD,,Grass Roots Airpark,Mascotte,Florida,US,105,28.64170074,-81.88500214,America/New_York
06IA,,Rich Field,Walford,Iowa,US,880,41.84140015,-91.83429718,America/Chicago
06ID,,Larkin Airport,Kuna,Idaho,US,2750,43.46269989,-116.3590012,America/Boise
06IL,,Humm Airport,Earlville,Illinois,US,708,41.59949875,-88.86990356,America/Chicago
06IN,,Ellis Fly-In Airport,Blackhawk,Indiana,US,575,39.28279877,-87.3035965,America/Indiana/Indianapolis
06IS,,Sinele Strip,Nauvoo,Illinois,US,695,40.54639816,-91.27429962,America/Chicago
06MN,,Pike Field Airport,Virginia,Minnesota,US,1463,47.65190125,-92.41670227,America/Chicago
06MO,,Noahs Ark Airport,Waldron,Missouri,US,755,39.23059845,-94.80439758,America/Chicago
06MT,,Torgerson Airport,Ethridge,Montana,US,3541,48.55830002,-112.1090012,America/Denver
06N7,NYS,New York Skyports Seaplane Base,New York,New York,US,0,40.73399083,-73.97291638,America/New_York
06NC,,Tailwinds Airport,St. Pauls,North Carolina,US,163,34.82749939,-78.93029785,America/New_York
06ND,,Fitterer's Strip,Glen Ullin,North Dakota,US,2180,46.74890137,-101.6689987,America/North_Dakota/New_Salem
06NH,,Cole Farm Airport,Kensington,New Hampshire,US,160,42.92839813,-70.97309875,America/New_York
06NY,,Murphy Field,Auburn,New York,US,1100,42.84280014,-76.44529724,America/New_York
06OH,,Hal Joy Airfield,Williamsfield,Ohio,US,1160,41.50979996,-80.59120178,America/New_York
06OI,,Green Acres Airport,New Lebanon,Ohio,US,915,39.73479843,-84.38220215,America/New_York
06OR,,Hayden Mountain Airport,Forest Grove,Oregon,US,850,45.46509933,-123.0800018,America/Los_Angeles
06PA,,Freefall Oz Airport,Ceres,New York,US,1440,42.00839996,-78.25810242,America/New_York
06SN,,Beyer Farm Airport,Derby,Kansas,US,1340,37.58390045,-97.25309753,America/Chicago
06TA,,Glaser Field,Buckholts,Texas,US,480,30.90850067,-97.11689758,America/Chicago
06TE,,Cavok Airpark,Cleveland,Texas,US,129,30.31270027,-95.02690125,America/Chicago
06TN,,Hunter STOLport,Columbia,Tennessee,US,640,35.69729996,-86.95690155,America/Chicago
06TS,,Roscoe Mc Connico Airport,Kerens,Texas,US,350,32.12070084,-96.17910004,America/Chicago
06TX,,Diamond N Ranch Airport,Hockley,Texas,US,215,30.05760002,-95.81289673,America/Chicago
06VA,,Mount Horeb Field,Grottoes,Virginia,US,1160,38.24900055,-78.8553009,America/New_York
06WI,,Young Private Airport,Frederic,Wisconsin,US,1075,45.66270065,-92.45020294,America/Chicago
06WN,,Western Airpark,Yelm,Washington,US,394,46.92499924,-122.5530014,America/Los_Angeles
06XS,,Campbell Field,Aubrey,Texas,US,546,33.3246994,-97.04419708,America/Chicago
07AR,,Morrilton Airport,Morrilton,Arkansas,US,300,35.19449997,-92.80020142,America/Chicago
07CL,,Richvale Airport,Richvale,California,US,100,39.49769974,-121.7710037,America/Los_Angeles
07CO,,Comanche Creek Airport,Kiowa,Colorado,US,6620,39.2635994,-104.427002,America/Denver
07FA,,Ocean Reef Club Airport,Key Largo,Florida,US,8,25.3253994,-80.27480316,America/New_York
07FD,,Flying G Ranch STOLport,Lee,Florida,US,90,30.41799927,-83.28379822,America/New_York
07GA,,Alcovy Airport,Covington,Georgia,US,750,33.67499924,-83.76309967,America/New_York
07ID,,Interstate Airport,Malta,Idaho,US,4580,42.27819824,-113.3050003,America/Boise
07IN,,Gray Airport,Boggstown,Indiana,US,750,39.57369995,-85.91390228,America/Indiana/Indianapolis
07KS,,Heape Field,Augusta,Kansas,US,1321,37.73419952,-96.93669891,America/Chicago
07KY,,Blue Lick Airport,Louisville,Kentucky,US,532,38.08060074,-85.69329834,America/Kentucky/Louisville
07MD,,Baugher's Orchard Airport,Westminster,Maryland,US,700,39.60829926,-77.05190277,America/New_York
07MI,,Scott Airstrip,Lake,Michigan,US,1065,43.86420059,-85.02390289,America/Detroit
07MN,,Dairyview Airport,Hadley,Minnesota,US,1680,44.05500031,-95.90950012,America/Chicago
07MO,,Lake Sexton Airport,Warrensburg,Missouri,US,880,38.65000153,-93.61689758,America/Chicago
07MT,,Glasgow Industrial Airport,Glasgow,Montana,US,2762,48.42110062,-106.5279999,America/Denver
07NC,,Hawks Meadow Airport,Waxhaw,North Carolina,US,625,34.83319855,-80.75119781,America/New_York
07OK,,Pleasant Valley Airport,Snyder,Oklahoma,US,1322,34.63339996,-99.03369904,America/Chicago
07OR,,Bruce's Airport,Milwaukie,Oregon,US,250,45.42179871,-122.6200027,America/Los_Angeles
07PN,,Folmar Airport,Grassflat,Pennsylvania,US,1690,40.998889,-78.125278,America/New_York
07SN,,Churchill Airport,Phillipsburg,Kansas,US,1965,39.77280045,-99.36009979,America/Chicago
07TA,,Salaika Aviation Airport,Danbury,Texas,US,30,29.2404995,-95.34470367,America/Chicago
07TE,,Cuddihy Field,Corpus Christi,Texas,US,39,27.72109985,-97.51280212,America/Chicago
07TN,,Corntassel Airport,Vonore,Tennessee,US,970,35.5685997,-84.2410965,America/New_York
07TS,,Cross-Country Estates Airport,Georgetown,Texas,US,690,30.625,-97.57279968,America/Chicago
07UT,,E Northrop Grumman Airport,Howell,Utah,US,4480,41.71666666,-112.4472222,America/Denver
07VA,,Alpha Hotel Airport,Clover,Virginia,US,350,36.81959915,-78.78309631,America/New_York
07VT,,Meadow STOLport,Jericho,Vermont,US,801,44.44720078,-72.91470337,America/New_York
07WI,,Bartell Strip,Genessee Depot,Wisconsin,US,990,42.96530151,-88.39150238,America/Chicago
08AK,,Fisher Airport,Big Lake,Alaska,US,200,61.569639,-149.724439,America/Anchorage
08CL,,Kistler Ranch Airport,Jamestown,California,US,1025,37.85960007,-120.5540009,America/Los_Angeles
08CO,,Terra Firma Airport,Rush,Colorado,US,5600,38.73249817,-104.0410004,America/Denver
08FA,,Duda Airstrip,La Belle,Florida,US,35,26.57979965,-81.48370361,America/New_York
08FD,,Sunniland Ranch Airport,Okeechobee,Florida,US,65,27.36310005,-80.77279663,America/New_York
08FL,,J. H. Hendrie Farms Airport,Lake Placid,Florida,US,103,27.08449936,-81.3286972,America/New_York
08GA,,Sapelo Island Airport,Darien,Georgia,US,12,31.42580032,-81.2858963,America/New_York
08ID,,Symms Airport,Marsing,Idaho,US,2680,43.56930161,-116.7770004,America/Boise
08IL,,Harms Airstrip,Tampico,Illinois,US,643,41.57699966,-89.79399872,America/Chicago
08IS,,Hemmer RLA Restricted Landing Area,Du Quoin,Illinois,US,400,37.97779846,-89.20290375,America/Chicago
08KS,,Alderson Airport,Bennington,Kansas,US,1250,39.03469849,-97.58000183,America/Chicago
08KY,,Boss Airport,Burnside,Kentucky,US,820,36.97259903,-84.62609863,America/New_York
08LL,,Sauer Airport,Dwight,Illinois,US,665,41.07529831,-88.48919678,America/Chicago
