=== Airports Without IATA Codes ===
ICAO,Name,City,Country
MN67,Sky Park Airport,Lydia,US
MN68,Pangerl Airport,Braham,US
MN69,Maple Airport,Maple Plain,US
MN71,Bakko Aviation Airport,Glenwood,US
MN74,B & D Flyers International Airport,Minnesota Lake,US
MN77,Jerger's Field,Moorhead,US
MN79,Schroeder Airport,Becker,US
MN81,J J and T Airport,East Grand Forks,US
MN84,Bachand Airport,Oklee,US
MN85,Swiderski Field,Onamia,US
MN86,Sky Manor Aero Estates Airport,Park Rapids,US
MN87,Cooks Landing Airport,Ham Lake,US
MN88,Empire Valley Airport,Paynesville,US
MN89,Aerovilla Airport,Perham,US
MN91,Reynolds Field,Princeton,US
MN92,Lennartson Airport,Proctor,US
MN93,Chandler Field,Randall,US
MN95,Velo Airstrip,Rothsay,US
MN96,Rohwer Airport,Rushmore,US
MN97,Thens Private Airstrip,St. Cloud,US
MN98,Aero-Plain Airport,St Francis,US
MN99,Serenity Airport,Lester Prairie,US
MNAL,Alamicamba Airport,Alamicamba,NI
MNAM,Altamira Airport,Altamira,NI
MNBC,Boaco Airport,Boaco,NI
MNBR,Los Brasiles Airport,Los Brasiles,NI
MNCH,Chinandega,Chinandega,NI
MNCT,Corinto Airport,Chinandega,NI
MNDM,Dos Montes Airport,Dos Montes,NI
MNEP,La Esperanza Airport,La Esperanza,NI
MNES,Esteli Airport,Esteli,NI
MNFC,Punta Huete (Panchito) Airport,Punta Huete,NI
MNFF,El Bluff Airport,El Bluff,NI
MNHG,Hato Grande Airport,Hato Grande,NI
MNJG,Jinotega,Jinotega,NI
MNJU,Juigalpa,Juigalpa,NI
MNKW,Karawala Airport,Karawala,NI
MNLN,Leon (Fanor Urroz) Airport,Leon,NI
MNMA,Macantaca Airport,Macantaca,NI
MNMR,Montelimar Airport,Montelimar,NI
MNPP,El Papalonal Airport,El Papalonal,NI
MNRS,Rivas,Rivas,NI
MO00,Turkey Mountain Estates Airport,Shell Knob,US
MO01,Cuinche Airport,Strafford,US
MO02,Morgan Airport,Rolla,US
MO03,Moders Airport,House Springs,US
MO04,Lyell Airport,Hunnewell,US
MO07,Adventures Aloft Airport,Jonesburg,US
MO08,Homan Field,Sedalia,US
MO09,Sharpe Farms Airport,Lewistown,US
MO10,Hawk Air Airport,Sturgeon,US
MO11,Barron Aviation Airport,Perry,US
MO13,Blue Hollow Airpark,Eldridge,US
MO14,Marshall Field,Fair Grove,US
MO15,Beckner Field,Marshfield,US
MO16,Baugh Flight Park Ultralightport,Avilla,US
MO17,Garst Airport,Watson,US
MO18,Clevenger Airport,Blue Springs,US
MO22,Jta Asbell Field,Carl Junction,US
MO23,Phillips Field,California,US
MO24,Lonesome Sky Airport,Craig,US
MO25,Show Me The Sky Airport,Barnard,US
MO26,Peterson Farm Airport,Kearney,US
MO27,Ccc Airport,Cameron,US
MO29,Inter-State Airport,Pleasant Hill,US
MO30,Harbour Airport,Gravois Mills,US
MO31,Robert Jones Airport,Rogersville,US
MO32,Table Rock Airport,Golden,US
MO33,Barlet's Base Airport,Carthage,US
MO34,Ellingsen Field,Everton,US
MO35,Harvey Airport,Eolia,US
MO36,Riddle's Roost Airport,Foristell,US
MO37,Ridgeview Ranch Airport,Harrisonville,US
MO39,Baldwin Airport,Silex,US
MO42,Wileys Air Strip,Gorin,US
MO43,Wilkins Airport,Montgomery City,US
MO45,Sky-Vu Airport,Montgomery City,US
MO46,Walker Airport,Louisana,US
MO49,Five Mile Airport,Joplin,US
MO51,Schaback Strip,Weston,US
MO52,Skyriders Airport,Wheatland,US
MO53,Meadows Airport,Bethany,US
MO54,Dudley Airport,Dudley,US
MO56,Lost Mine Airport,Theodosia,US
MO57,Henderson Mounds E B G Airport,East Prairie,US
MO58,Waldemer Flying W Ranch Airport,Fairdealing,US
MO59,K & N Field,Moscow Mills,US
MO61,Bel-Voir Acres Airport,Golden,US
MO62,Hibbs Farm Airport,Sheridan,US
MO64,Kimberling Airport,Kimberling City,US
MO65,Misty Meadows Airport,Kirbyville,US
MO66,Linden Air Airport,Ozark,US
MO67,Hayes Field,Poplar Bluff,US
MO68,Eads Ridge Airport,Fair Grove,US
MO71,Block Air Village Airport,Holt,US
MO72,Flying 'J' Ranch Airport,Van Buren,US
MO73,Rolling Shoals Farm Airport,Williamsville,US
MO74,Cedar Creek Airport,Columbia,US
MO75,Brownsberger Airport,Montrose,US
MO77,Arnika Ranch Airport,Ava,US
MO78,Stickle Cattle Farms Airport,Belle,US
MO79,Sky Ranch Ii Airport,Belleview,US
MO80,Oak Ridge Airpark,Mountain Grove,US
MO81,Dove Airstrip,Bismarck,US
MO82,Howard Airport,Gorin,US
MO83,Widmark Airport,Green City,US
MO84,Viburnum Airport,Viburnum,US
MO85,Wells Airport,Marshfield,US
MO86,Sanctuary Airport,Bellflower,US
MO87,Powis Airport,Oak Grove,US
MO88,Feutz Airport,Hatton,US
MO89,Bar-Vik Airport,Laurie,US
MO93,Keeven Air Ranch Airport,Hawk Point,US
MO94,Starr Airport,Trimble,US
MO95,Hawkins Airport,Carrollton,US
MO96,Ray Johnson Inc Airport,Centerville,US
MO98,Williams Airport,Cleveland,US
MO99,Miller Airport,Climax Springs,US
MP00,Cap Justiniano Montenegro Airport,Pedasi,PA
MP01,Finca Ceiba Airport,Finca Jagua,PA
MP02,Finca 45 Airport,Dos Canos,PA
MP03,La Cabezona Airport,Guarumal,PA
MP17,Finca 67 Airport,Changuinola,PA
MP18,Penonome Airport,Penonome,PA
MP21,Alvaro Berroa Airport,Nueva California,PA
MP22,Ingenio Santa Rosa Airport,Ingenio Santa Rosa,PA
MP23,Calzada Larga Airport,Calzada Larga,PA
MP24,Chame Airport,La Paz,PA
MP26,Punta Cocos Airport,Punta Cocos,PA
MP27,Deborah Airport,Guabito,PA
MPFS,Fort Sherman Airport,Fort Sherman,PA
MPNU,Augusto Vergara Airport,Los Santos,PA
MPZL,Finca 32 Airport,La Dalia,PA
MRAD,Aerodamas Airport,Quepos,CR
MRAJ,Aranjuez Airport,Miramar,CR
MRAM,Amubri Airport,Amubri,CR
MRAR,Atirro Airport,Turrialba,CR
MRAT,Altamira de San Carlos Airport,San Carlos,CR
MRBB,Babilonia Airport,Siquirres,CR
MRBM,Bremen Airport,Guacimo,CR
MRBN,Bataan (Monte Libano) Airport,Limon,CR
MRBO,Boca Naranjo Airport,Quepos,CR
MRBP,Barra de Parismina Airport,Pococi,CR
MRCE,Carate Airport,Golfito,CR
MRCI,Ciruelas Airport,Bagaces,CR
MRCL,Coyolar Airport,Liberia,CR
MRCO,El Cerrito Airport,Filadelfia,CR
MRCV,Cabo Velas Airport,Nicoya,CR
MRCZ,Carrizal Airport,Carrizal,CR
MRDC,Duacari 2 Airport,Guapiles,CR
MRDD,Don Diego Airport,Limon,CR
MRDM,Dos Marias Airport,Chorotega,CR
MRDO,Dieciocho Airport,Puntarenas,CR
MREC,El Carmen de Siquirres Airport,Siquirres,CR
MRED,El Descanso de Poco Sol Airport,San Carlos,CR
MREO,El Ceibo Airport,Ticaban,CR
MRER,El Ron Ron Airport,Ron Ron,CR
MRET,Esterillos / Finca Airport,Parrita,CR
MRFD,Finca Delicias Airport,Puntarenas,CR
MRFI,Finca 10 / Nuevo Palmar Sur Airport,Puntarenas,CR
MRFP,Frutez - Pital Airport,San Carlos,CR
MRFS,Finca 63 (Coto 63) Airport,Puntarenas,CR
MRGA,Garza Airport,Garza,CR
MRGT,Guatuso Airport,Alajuela,CR
MRHG,Hacienda Rancho Grande Airport,Sarapiqui,CR
MRHH,Hacienda Homuha Airport,San Carlos,CR
MRHO,Hacienda Rio Cuarto Airport,Sarapiqui,CR
MRHP,Hacienda La Pacifica Airport,Canas,CR
MRHS,Hacienda La Suerte Airport,Pococi,CR
MRIS,Las Islas Airport,San Carlos,CR
MRJO,Jaco Airport,Jaco,CR
MRLA,La Zampona Airport,Guanacaste,CR
MRLE,Laurel Airport,Puntarenas,CR
MRLF,La Flor Airport,Liberia,CR
MRLG,La Garroba Airport,Upala,CR
MRLI,La Ligia Airport,Parrita,CR
MRLL,Las Lomas Airport,Siquirres,CR
MRLN,La Guinea Airport,Nicoya,CR
MRLP,Las Piedras Airport,Canas,CR
MRLT,Las Trancas Airport,Las Trancas,CR
MRLV,La Cueva Airport,Liberia,CR
MRLY,La Yolanda Airport,Parrita,CR
MRLZ,La Zopilota Airport,Guanacaste,CR
MRMA,Monte Alto Airport,Abangares,CR
MRMC,Murcielago Airport,La Cruz,CR
MRPA,Palo Arco Airport,Nandayure,CR
MRPB,Playa Blanca (J. W. Berteus) Airport,Puntarenas,CR
MRPC,Paso Canoas Airport,Paso Canoas,CR
MRPD,Pandora Airport,Limon,CR
MRPL,Portalon Airport,Portalon,CR
MRPN,Pelon Nuevo Airport,Liberia,CR
MRPO,Punta Banco Airport,Puntarenas,CR
MRPP,Playa Pajaros Airport,Paquera,CR
MRPS,Penas Blancas Airport,Santa Cruz,CR
MRPT,Agropecuaria Playa Caletas Airport,Nicoya/Guanacate,CR
MRPY,Playa Ballena Airport,Puntarenas,CR
MRQA,Quebrada Azul Airport,Florencia,CR
MRRH,Rancho Humo Airport,Santa Cruz,CR
MRRN,Rancho Nuevo Airport,Puntarenas,CR
MRRX,Roxana Farms Airport,Limon,CR
MRSA,San Alberto Airport,Limon,CR
MRSB,San Cristobal Airport,San Carlos,CR
MRSC,Santa Cruz Airport,Santa Cruz,CR
MRSF,Santa Fe Airport,Perez Zeledon,CR
MRSG,Santa Clara De Guapiles Airport,Limon,CR
MRSH,Shiroles Airport,Talamanca,CR
MRSL,Salama Airport,Salama,CR
MRSM,Santa Marta Airport,Orotina,CR
MRSO,Santa Maria De Guacimo Airport,Guapiles,CR
MRSP,San Pedro Airport,San Pedro,CR
MRSQ,Sarapigui Airport,San Carlos,CR
MRST,San Agustin Airport,Puntarenas,CR
MRSX,Sixaola Airport,Sixaola,CR
MRTB,Ticaban Airport,Pococi,CR
MRTG,Taboga Airport,Canas,CR
MRTL,Talolinga Airport,Nicoya,CR
MRYT,Yucatica Airport,Guacimo,CR
MRZP,Zapotal De Guanacaste Airport,Zapotal,CR
MS00,Double O Ranch Airport,Olive Branch,US
MS03,Christmas Airport,Shelby,US
MS04,Hopper Field,Steens,US
MS06,Linwood Airport,Linwood,US
MS08,Harrell Field,Pisgah,US
MS09,Glidwell Flying Service Airport,Alligator,US
MS10,Turner Field,Belzoni,US
MS11,Mohr Farm Airport,Brandon,US
MS13,Eifling Farms Airport,Glen Allan,US
MS14,John Farese Airpark,Ashland,US
MS15,Country Club Airport,Greenville,US
MS18,Dilworth Airport,Corinth,US
MS20,Newell Flying Service Airport,Inverness,US
MS21,Lester Field,Inverness,US
MS22,Murphey Flying Service Airport,Itta Bena,US
MS23,Forest Home Airport,Woodville,US
MS24,Joe Sanford Field,Edwards,US
MS25,Huntley Airport,Leland,US
MS26,Cedar Creek Air Ranch Airport,Lucedale,US
MS27,Aerohead Airport,Hurley,US
MS28,Alcorn State University Airport,Lorman,US
MS29,Pace Airstrip,Canton,US
MS30,Abide Airpark,Greenville,US
MS33,Hobbs Airport,Moorhead,US
MS34,Reality Plantation Airport,Onward,US
MS35,Wade Airport,Rolling Fork,US
MS36,Supplejack Airport,Canton,US
MS37,West Bolivar Flying Service Airport,Benoit,US
MS38,Flautt Airport,Swan Lake,US
MS39,Smith County Airport,Taylorsville,US
MS40,Southland Flying Service Inc. Airport,Tchula,US
MS41,Flying Y Service Airport,Tutwiler,US
MS42,Mississippi Petrified Forest Airport,Flora,US
MS43,Whitaker Airport,Vicksburg,US
MS45,BHLLC Airport,Yokena,US
MS48,George Ford Airport,Picayune,US
MS49,Mc Gehee Air Park,Liberty,US
MS50,Clay Airport,Monticello,US
MS52,Leuth Flying Service Airport,Okolona,US
MS53,Wolf River Ranch Airport,Poplarville,US
MS54,Burney Farms Airport,Coffeeville,US
MS55,Schloss Adlers Airport,Red Banks,US
MS57,Fred Netterville Lbr Co Wilkinson Commnty Airport,Woodville,US
MS58,Tullos Field,Florence,US
MS59,Valley of The Moon Airport,Hermanville,US
MS61,Ellis Field Airport,Picayune,US
MS62,Davis Field,Olive Branch,US
MS63,Rye Field,Smithville,US
MS64,Vaiden Landing Airport,Hernando,US
MS65,Delta Flying Service Inc Airport,Walls,US
MS66,Kennedy Executive Airport,Biloxi,US
MS68,Lamb's Field,Mantachie,US
MS69,Falcon Field,Star,US
MS70,Mc Lain  -Calico Airport,Philadelphia,US
MS71,Slobovia Outernational Airport,Pocahontas,US
MS74,Lee's Field,Picayune,US
MS75,Lewis Airport,Glen Allan,US
MS76,Wade Field,Calhoun City,US
MS77,Lang Flying Service Airport,Inverness,US
MS80,Hasting Airpark,Bruce,US
MS82,Shade Tree Field,Lyman,US
MS83,Alton Field,Harrisville,US
MS85,Skelton Airport,Shaw,US
MS86,Oglesby Farms Inc. Airport,Glen Allan,US
MS88,Oreck Airport,Poplarville,US
MS90,Flowood Industrial STOLport,Flowood,US
MS92,Heigle Field,Mayersville,US
MS93,Hooper Skylark Field,Mc Neil,US
MS95,Dorr Field,Merigold,US
MS96,Barrett Field,Philadelphia,US
MS98,Farmco Field,Lucedale,US
MS99,Rocking T Ranch Airport,Bay St. Louis,US
MSAC,La Aramuaca Airport,San Miguel,SV
MSBS,Barillas Airport,Barrillas,SV
MSCD,Ceiba Doblada Airport,Ceiba Doblada,SV
MSCH,La Chepona Airport,La Chepona,SV
MSCM,Corral De Mulas Airport,Corral de Mulas,SV
MSCN,Casas Nuevas Airport,Jiquilisco,SV
MSCR,La Carrera Airport,Jiquilisco,SV
MSES,Espiritu Santo Airport,Espiritu Santo,SV
MSET,El Tamarindo Airport,Canoguero,SV
MSJC,El Jocotillo Airport,El Jocotillo,SV
MSLC,La Cabana Airport,La Cabana,SV
MSLD,Los Comandos Airport,San Francisco Gotera,SV
MSLG,La Gloria Airport,San Salvador,SV
MSLM,Las Mesas Airport,Las Mesas,SV
MSPT,El Platanar Airport,Suchitoto,SV
MSRC,El Ronco Airport,Metapan,SV
MSSA,El Palmer Airport,Santa Ana,SV
MSSJ,Punta San Juan Airport,Corral de Mulas,SV
MSSM,El Papalon Airport,San Miguel,SV
MSSN,San Ramon Airport,San Ramon,SV
MSZT,El Zapote Airport,Barra de Santiago,SV
MT01,Owen Bros Airport,Geraldine,US
MT02,Hellinger Airport,Devon,US
MT03,Lakeside Airport,Lakeside,US
MT04,Olfert Airport,Lustre,US
MT05,Laird Ranch Airport,Ekalaka,US
MT06,Duncan Airport,Helena,US
MT07,Langhus Airstrip,Melville,US
MT08,Zortman Airport,Zortman,US
MT09,Floyd Ranch Airport,Opheim,US
MT11,Etchart Field,Tampico,US
MT12,Smith Field,Butte,US
MT14,Jerry Creek Airport,Wise River,US
MT15,Fort Harrison Army Airfield,Helena,US
MT16,Buffalo Trail Ranch Strip,Ovando,US
MT17,Wurtz Airport,Kalispell,US
MT18,Torres Airport,Columbia Falls,US
MT19,Hoversland Airport,Ronan,US
MT20,Hollstein Ranch Airport,Wibaux,US
MT21,Flying Arrow Ranch Airport,Butte,US
MT22,Tezak's-Colterville-Spur Airport,Sheridan,US
MT24,Beacon Star Antique Airfield,Moore,US
MT26,Ranch Strip,Great Falls,US
MT29,Sunday Creek Airpark,Miles City,US
MT30,Trapper Creek Strip,Conner,US
MT32,Ckye Field,Stevensville,US
MT33,Bair Airport,Ulm,US
MT34,Ruff Airport,Custer,US
MT36,Cottontail Ranch Airport,Melville,US
MT37,Sanders Airport,Kalispell,US
MT38,Swank Airport,Poplar,US
MT39,Black Canyon Ranch Airport,Seeley Lake,US
MT40,Horner Field,Great Falls,US
MT41,Jefco Skypark Airport,Whitehall,US
MT42,Hasskamp STOLport,Three Forks,US
MT43,Klies Air Strip,Basin,US
MT45,Castleberry Airport,Ekalaka,US
MT46,Lakeview Airport,Lakeview,US
MT47,Metzel Creek Airport,Lakeview,US
MT48,Flying Y Ranch Airport,Livingston,US
MT49,Ford's South Airport,Lolo,US
MT50,Lanning Ranch Airport,Alzada,US
MT51,Zerbe Airport,Frazer,US
MT52,Nine Mile Airport,Huson,US
MT53,Carson Field,Kalispell,US
MT54,Weaver Airport,Kalispell,US
MT58,Nelson Airport,Haxby / Fort Peck,US
MT59,Gardner Airport,Hammond,US
MT60,Langton Airstrip,Polebridge,US
MT62,Ted Luark Private STOLport,Huson,US
MT63,Lee Metcalf National Wildlife Refuge Airport,Stevensville,US
MT68,Wood Strip,Helena,US
MT71,Edsall Field,Bozeman,US
MT72,Hedditch Airport,Corvallis,US
MT73,Camas Airport,Missoula,US
MT74,Sikorski Ranch Airport,Ekalaka,US
MT75,Buchanan Ranch Airport,Great Falls,US
MT76,Smith Farms Airport,Great Falls,US
MT77,Peterson Ranch Airport,Highwood,US
MT79,Sand Creek Wildlife Station Airport,Roy,US
MT80,Vine Airport,Wolf Point,US
MT81,Thompson Field,Belgrade,US
MT82,Baxter Strip,Harlowton,US
MT83,Ten Mile Airport,Helena,US
MT84,Mower Field,Kalispell,US
MT85,Redfield Ag Strip,Opheim,US
MT86,Bar E Airport,Helena,US
MT87,Oglesby Farms Inc Airport,Peerless,US
MT88,Campbell Ranch Airport,Marion,US
MT89,Foster Ranches Airport,Livingston,US
MT90,J B Airport,Wolf Point,US
MT93,Larner Field,Deer Lodge,US
MT94,Ousel Falls Airport,Big Sky,US
MT95,Sky Ranch Airport,Kalispell,US
MT96,Wilhelm Airstrip,Helena,US
MT97,Frampton Airport,Noxon,US
MT98,Big Beaver Creek Ranch Airport,Trout Creek,US
MTRH,Trojes Airport,Trojes,HN
MU00,Samuel L. Clemens Memorial Airport,Paris,US
MU02,C.E.F. Airport,Warrenton,US
MU03,Leo's Angus Ranch Airport,Dayton,US
MU04,Broadwater Airport,Malden,US
MU07,Angle Bar M Airport,Adrian,US
MU09,Hester Airport,Burlington Junction,US
MU11,Eagle's Landing Airport,Climax Springs,US
MU12,Childress Airstrip,Springfield,US
MU13,Bakers Landing Airport,Billings,US
MU16,Spillman Field,Jamesport,US
MU18,Stark Airport,Warrenton,US
MU19,Cherokee Airpark,Bolivar,US
MU20,Robbins Airport,Odessa,US
MU21,Miller Farm Airport,Bay,US
MU23,White Cloud Flying Field,Columbia,US
MU24,Brass Lantern Airpark,Cedarcreek,US
MU25,Piney Bend Airport,Houston,US
MU26,Robinson Airport,Belton,US
MU27,Woodfield Airpark Inc Airport,Lockwood,US
MU32,Sugar Branch Airport,Columbia,US
MU33,Harrison Airport,Hurdland,US
MU34,Haven Wood Airport,Round Spring,US
MU35,Tallen Airport,Arkoe,US
MU38,Bogard-Cowgill Airport,Milan,US
MU40,Lake Village Airport,Paris,US
MU41,Ingram Private Airport,Purdy,US
MU42,Strutman Field,Wentzville,US
MU46,Arrowhead Airpark,Belton,US
MU48,Sunburst Ranch Airport,Gainesville,US
MU55,Bauer Pgi Airport,Appleton City,US
MU56,Brown Field,Broseley,US
MU62,Hilltop Airport,Drexel,US
MU63,Blumenstetter Airport,Elkland,US
MU65,Lakeside Airport,Farmington,US
MU68,Eu-Wish Airport,Hermann,US
MU69,Peterman Airport,Collins,US
MU70,Skyview Airport,Ozark,US
MU71,Vandahl Airport,Weston,US
MU77,Aero Britton Airport,Fayette,US
MU78,Taylor Field,Waynesville,US
MU84,Michael Farm Airport,Lone Jack,US
MU85,Thomas Airport,Oak Grove,US
MU86,Taus River Ranch Airport,Houston,US
MU89,Woodland Airstrip,Troy,US
MU97,Platte Valley Airport,Platte City,US
MU98,Eagles Nest Airport,Golden,US
MUAT,Antilla Airport,Antilla,CU
MUBE,El Caribe Airport,El Caribe,CU
MUBO,Batabano Airport,Batabano,CU
MUCB,Caibarien Airport,Caibarien,CU
MUCD,Ciego De Avila Sur Airport,Ciego de Avila,CU
MUCV,Las Clavellinas Airport,Las Clavellinas,CU
MUCY,Cayajabo Airport,Cayajabo,CU
MUFL,Florida Airport,Florida,CU
MUGA,Central Agramonte Airport,Florida,CU
MUGV,Guardalavaca Airport,Yaguajay,CU
MUIV,Nuevitas Airport,Nuevitas,CU
MULB,Ciudad Libertad Airport,Havana,CU
MUMG,Managua Airport,Managua,CU
MUMH,Matahambre Airport,Matahambre,CU
MUMT,Matanzas Airport,Matanzas,CU
MUPA,Punta Alegre Airport,Punta Alegre,CU
MUSA,San Antonio De Los Banos Airport,San Antonio de los Banos,CU
MUSG,Sagua La Grande Airport,Sagua la Grande,CU
MUSL,Joaquin de Aguero Airport,Playa Santa Lucia,CU
MUTI,Manati Airport,Manati,CU
MY00,Sieg's Farm Airport,Truman,US
MY01,Roan Airport,Warren,US
MY03,Braun's Airport,Sleepy Eye,US
MY04,Koch's Personal Field,Taunton,US
MY06,Ramerth Airport,Fulda,US
MY07,Nord Field,Wolverton,US
MY10,Deters Farms Airport,Spring Grove,US
MY11,Gilgenbach's Airport,Taopi,US
MY12,Dykstra Acreage Airport,Trosky,US
MY13,Swan Field,Saginaw,US
MY15,Kastanek Airport,Pierz,US
MY17,Swanson Private Airport,Goodridge,US
MY18,Lino Air Park,Lino Lakes,US
MY19,Schwenk Airport,Murdock,US
MY24,Falk Private Airport,Park Rapids,US
MY25,Knapp Personal Use Airport,Foxhome,US
MY28,Pinetree Airpark,Harris,US
MY29,Kaiser's Airstrip,Lake Park,US
MY35,Walker Field,Afton,US
MY37,Eyota Airport,Eyota,US
MY42,Mathis Airport,Gonvick,US
MY43,Becker Personal Airport,St Francis,US
MY46,Hay Shakers Airport,Nicollet,US
MY47,Guggenberger Airport,Sartell,US
MY49,Anderson Airport,Bear River,US
MY50,Frontenac Airport,Frontenac,US
MY52,Turkey Track Airport,Coates,US
MY54,Cloverleaf-East Bemidji Airport,Bemidji,US
MY55,B I R Airport,,US
MY56,Robertson Field,Hibbing,US
MY57,Fedor Airport,Holdingford,US
MY58,Home-Base Airport,Holloway,US
MY59,Gasper Airport,Euclid,US
MY60,Hagen Airport,Richville,US
MY62,Ultraflyte Inc Ultralightport,Jenkins,US
MY64,Schjeldrup Airport,Felton,US
MY66,North Star Ranch Airport,Onamia,US
MY68,Johnsons Aero Repair Airport,Wheaton,US
MY71,Mueller Airport,Georgetown,US
MY72,Isle Private Airport,Isle,US
MY78,Sunrise Airport,Stacy,US
MY80,Rosenberg Airport,Ceylon,US
MY82,Du Fresne Airport,Forest Lake,US
MY88,Cary Airport,Park Rapids,US
MY89,Pavek Personal Airport,Pine City,US
MY90,Al's Due North Airport,North Branch,US
MY92,Grohnke Field,Braham,US
MY94,Country Haven Airport,Cloquet,US
MY95,Swanson Field,Crown,US
MY97,Nielsen's Airport,Farmington,US
MY98,Pake Airport,Felton,US
MY99,Johnston Airport,Hawley,US
MYA0,Mores Island Airport,Mores Island,BS
MYAS,Sandy Point Airport,,BS
MYAX,Spanish Cay Airport,,BS
MYCH,Hawks News Airport,Hawks News,BS
MYCS,Cay Sal Airport,Cay Sal,BS
MYCX,Cutlass Bay Airport,Cutlass Bay,BS
MYEB,Black Point Airstrip,Black Point,BS
MYEG,George Town Airport,George Town,BS
MYEL,Lee Stocking Airport,Lee Stocking,BS
MYEY,Hog Cay Airport,Hog Cay,BS
MYGD,Deep Water Cay Airport,Deep Water Cay,BS
MYX4,Big Whale Cay Airport,Big Whale Cay,BS
MYX5,Cistern Field,Cistern Field,BS
MYX7,Rudder Cut Cay Airport,Rudder Cut Cay,BS
MYX8,Darby Island Airport,Darby Island,BS
MYXC,Hog Key Airport,Long Island,BS
MYXD,Leaf Cay Airport,Leaf Cay,BS
MYXH,Sampson Cay Airport,Sampson Cay,BS
MYZ2,Cape Eleuthera Airport,Cape Eleuthera,BS
MYZ3,Little Whale Cay Berry Islands Airport,Little Whale Cay,BS
NA01,Jenson Airport,Reynolds,US
NA02,Saure Airport,Reynolds,US
NA03,Boll Brothers Airstrip,Russell,US
NA05,Kraig Farms Airport,Sheldon,US
NA06,Bouret Ranch Airport,Sheyenne,US
NA07,Kornkven Airstrip,Souris,US
NA10,Anderson Private Airport,Starkweather,US
NA12,Johnson Private Airport,Turtle Lake,US
NA13,Linrud Airstrip,Velva,US
NA17,Jacob Gust Airport,West Fargo,US
NA18,Hought Airstrip,Williston,US
NA20,Hudson's Strip,Wyndmere,US
NA21,Thompson Private Airport,Wyndmere,US
NA22,Vernon Miller Private Airport,Rhame,US
NA25,Holen Aerial Spray Airstrip,Bantry,US
NA30,Behrens Airstrip,Burlington,US
NA32,Johnson Airstrip,Eldridge,US
NA33,Ripplinger Strip,Esmond,US
NA38,Sabbe Brothers Landing Strip,Maddock,US
NA39,Dorbrinski Airport,Makoti,US
NA44,Georgeson Farm Strip,New Rockford,US
NA49,Paul Airstrip,Rugby,US
NA54,Moser Airstrip,Westfield,US
NA55,Hager Strip,Barney,US
NA56,Moffet Airstrip,Barney,US
NA60,Dakota Airport,Grandin,US
NA61,Tachenko Strip,Grassy Butte,US
NA63,Storseth Airstrip,Grenora,US
NA65,Anderson Strip,Hoople,US
NA67,Horsley Airstrip,Neche,US
NA70,Smith Airstrip,Sheyenne,US
NA71,M. Bodvig Airstrip,Tappen,US
NA73,Welstad Farms Airstrip,Upham,US
NA75,Lill Strip,Bremen,US
NA77,Mc Gee Strip,Rhame,US
NA79,Philbrick Private Airstrip,Turtle Lake,US
NA81,Central Valley Aviation Airport,Buxton,US
NA84,L. Seckerson Airstrip,Eldridge,US
NA86,Johnson Private Airstrip,Luverne,US
NA88,Regan Airstrip,Regan,US
NA89,Holzman Airstrip,Scranton,US
NA90,Circle Z Landing Strip,Underwood,US
NA92,Roy Lohse Airport,Alamo,US
NA98,Dilse Private Airstrip,Scranton,US
NA99,Bakko Airstrip,Walcott,US
NC00,Moretz Riverside Landing Airport,Sanford,US
NC01,Harvey Point Defense Testing Activity Airport,Hertford,US
NC02,Boomerang Airport,Harris,US
NC03,Darr Field,High Point,US
NC05,Bradford Field Airport,Huntersville,US
NC06,Elk River Airport,Banner Elk,US
NC08,Tusquittee Landing Airport,Hayesville,US
NC09,Stoneriver Airport,Statesville,US
NC10,Nocarva Airport,Macon,US
NC11,Deck Airpark,Apex,US
NC12,Lee Creek Airport,Aurora,US
NC13,Yorks Field,Ramseur,US
NC14,Boone Inc Airport,Boone,US
NC15,Raeford Rhyne Airpark,Statesville,US
NC16,Brevard Airport,Brevard,US
NC17,Wolf's Den Airport,Cedar Island,US
NC18,Brickhouse Field,Burgaw,US
NC19,Propst Airport,Concord,US
NC20,Canaan Air Base,New Bern,US
NC21,Aero Plantation Airport,Weddington,US
NC22,Charles Field,Dunn,US
NC25,Gold Hill Airport,Gold Hill,US
NC26,Long Island Airport,Long Island,US
NC27,Lower Creek Airport,Lenoir,US
NC28,Meadstown Airstrip,Elizabeth City,US
NC29,Bradley Field,China Grove,US
NC30,Miller Air Park,Mooresville,US
NC31,Quiet Acres Airport,Thomasville,US
NC32,Berts Airport,Clemmons,US
NC34,Miles Airport,Chapel Hill,US
NC35,Spencer Airport,Concord,US
NC36,Benton's Airfield,Pikeville,US
NC37,Mountain View Aerodrome,Reidsville,US
NC39,Enochville Airport,Kannapolis,US
NC40,Holeman Field,Roxboro,US
NC42,Piney Ridge Airport,Yadkinville,US
NC43,Bear Pen Airport,Supply,US
NC44,Barclaysville Field,Angier,US
NC45,Enfield-Shearin Airport,Enfield,US
NC47,South Oak Aerodrome,Winterville,US
NC48,Safe Field,Wallace,US
NC49,Boyd Field,Grimesland,US
NC50,Skyland Airport,Jefferson,US
NC52,Silver Creek Airport,Morganton,US
NC54,Jackson Private Airport,Atlantic,US
NC56,Deer Run Airport,Kittrell,US
NC58,Gryder-Teague Airport,Taylorsville,US
NC59,Alexander County Airport,Taylorsville,US
NC61,NC61 Airport,Moyock,US
NC63,Robertson Field,Winston Salem,US
NC64,Barringer Field,Kannapolis,US
